모집단위,모집인원,경쟁률,충원인원,대학점수70컷,70컷,영어등급,대학명,수시정시구분,세부전형명,년도,정시모집군,학과정렬번호
간호학과(인문),20,2.4,4,716.9167,92.25,1,연세대학교,정시,일반전형,2023,가군,1
간호학과(자연),16,2.69,2,702.3667,94.5,2,연세대학교,정시,일반전형,2023,가군,2
건축공학과,31,2.81,10,702.6778,93.5,1,연세대학교,정시,일반전형,2023,가군,3
경영학과,153,4.02,127,720.8417,92.5,1,연세대학교,정시,일반전형,2023,가군,4
경제학부,109,2.54,61,718.6917,91.5,1,연세대학교,정시,일반전형,2023,가군,5
관현악과,40,6.95,1,154.4,,5,연세대학교,정시,일반전형,2023,가군,6
교육학부,30,2.63,7,714.4083,90.75,1,연세대학교,정시,일반전형,2023,가군,7
교회음악과,17,2.53,0,199,,4,연세대학교,정시,일반전형,2023,가군,8
국어국문학과,27,2.04,1,714.4083,91,1,연세대학교,정시,일반전형,2023,가군,9
기계공학부,52,2.5,20,706.3611,93.75,1,연세대학교,정시,일반전형,2023,가군,10
노어노문학과,15,2.27,2,712.0167,90.25,1,연세대학교,정시,일반전형,2023,가군,11
대기과학과,12,2.25,3,701.7,94,1,연세대학교,정시,일반전형,2023,가군,12
도시공학과,15,3.6,4,704.3444,93.75,1,연세대학교,정시,일반전형,2023,가군,13
독어독문학과,21,3.62,5,713,90.75,1,연세대학교,정시,일반전형,2023,가군,14
디스플레이융합공학과,11,5,11,709.0944,95.25,2,연세대학교,정시,일반전형,2023,가군,15
문헌정보학과,16,4.31,2,715.0583,90.25,1,연세대학교,정시,일반전형,2023,가군,16
문화인류학과,9,3,2,714.1417,91.25,1,연세대학교,정시,일반전형,2023,가군,17
물리학과,16,2.88,10,702.5389,92.75,2,연세대학교,정시,일반전형,2023,가군,18
불어불문학과,19,3.05,5,712.625,91.25,1,연세대학교,정시,일반전형,2023,가군,19
사학과,26,2.69,4,713.6167,90.25,1,연세대학교,정시,일반전형,2023,가군,20
사회복지학과,18,2.78,3,713.3833,91.75,1,연세대학교,정시,일반전형,2023,가군,21
사회학과,25,2.6,4,716.025,92.5,1,연세대학교,정시,일반전형,2023,가군,22
사회환경시스템공학부,30,3.63,1,702.1222,93.75,1,연세대학교,정시,일반전형,2023,가군,23
산업공학과,16,4.25,6,707.0222,95,1,연세대학교,정시,일반전형,2023,가군,24
생명공학과,23,3.74,14,700.8667,93.5,1,연세대학교,정시,일반전형,2023,가군,25
생화학과,12,4.42,5,705.8056,94.25,1,연세대학교,정시,일반전형,2023,가군,26
생활디자인학과,13,3.15,4,713.1917,91.75,1,연세대학교,정시,일반전형,2023,가군,27
성악과,24,15.5,12,174,,5,연세대학교,정시,일반전형,2023,가군,28
수학과,16,2.94,11,706.6611,94,2,연세대학교,정시,일반전형,2023,가군,29
스포츠응용산업학과,24,4.63,1,588.0142,85,2,연세대학교,정시,일반전형,2023,가군,30
시스템반도체공학과,10,6.5,16,714.0611,95.5,1,연세대학교,정시,일반전형,2023,가군,31
시스템생물학과,12,3.67,6,706.2556,95.25,1,연세대학교,정시,일반전형,2023,가군,32
식품영양학과(인문),4,3.75,0,716.2583,92.5,1,연세대학교,정시,일반전형,2023,가군,33
식품영양학과(자연),6,3.33,1,701.8111,95,1,연세대학교,정시,일반전형,2023,가군,34
신소재공학부,44,3.23,21,708.3556,94.5,1,연세대학교,정시,일반전형,2023,가군,35
신학과,27,4.22,9,709.1083,89.75,1,연세대학교,정시,일반전형,2023,가군,36
실내건축학과(인문),6,3.33,1,719.525,92.25,1,연세대학교,정시,일반전형,2023,가군,37
실내건축학과(자연),6,6.67,0,701.0111,93.5,2,연세대학교,정시,일반전형,2023,가군,38
심리학과,22,2.82,4,717.225,91.5,1,연세대학교,정시,일반전형,2023,가군,39
아동·가족학과,13,5,4,712.9917,90.25,1,연세대학교,정시,일반전형,2023,가군,40
약학과,12,7.5,14,718.1944,96.75,1,연세대학교,정시,일반전형,2023,가군,41
언더우드학부(인문사회),7,5,0,641.6725,89.25,1,연세대학교,정시,일반전형,2023,가군,42
언론홍보영상학부,27,2.56,5,717.0167,92.75,1,연세대학교,정시,일반전형,2023,가군,43
영어영문학과,37,2.46,7,715.2333,91.25,1,연세대학교,정시,일반전형,2023,가군,44
융합과학공학부(ISE),25,3.44,3,644.92,90.75,1,연세대학교,정시,일반전형,2023,가군,45
융합인문사회과학부 (HASS),26,4.46,2,640.075,89.5,1,연세대학교,정시,일반전형,2023,가군,46
응용통계학과,31,3,21,724.6583,92,1,연세대학교,정시,일반전형,2023,가군,47
의류환경학과(인문),6,3.17,1,715.8083,90.25,1,연세대학교,정시,일반전형,2023,가군,48
의류환경학과(자연),6,3.67,1,699.6944,93.75,1,연세대학교,정시,일반전형,2023,가군,49
의예과,44,3.52,8,668.91,99.5,1,연세대학교,정시,일반전형,2023,가군,50
인공지능학과,11,4.55,7,707.05,96.75,2,연세대학교,정시,일반전형,2023,가군,51
작곡과,19,6.16,4,210,,3,연세대학교,정시,일반전형,2023,가군,52
전기전자공학부,88,3.47,85,711.0111,95.5,1,연세대학교,정시,일반전형,2023,가군,53
정치외교학과,51,2.73,18,715.3583,91.25,1,연세대학교,정시,일반전형,2023,가군,54
중어중문학과,17,2.82,4,711.075,90.75,1,연세대학교,정시,일반전형,2023,가군,55
지구시스템과학과,13,3.15,0,702.4722,94,1,연세대학교,정시,일반전형,2023,가군,56
천문우주학과,12,3.08,4,694.3056,92.75,1,연세대학교,정시,일반전형,2023,가군,57
철학과,18,3,7,713.6417,91,1,연세대학교,정시,일반전형,2023,가군,58
체육교육학과,27,4.22,10,590.3942,88,2,연세대학교,정시,일반전형,2023,가군,59
치의예과,25,4.4,23,729.3444,98.5,1,연세대학교,정시,일반전형,2023,가군,60
컴퓨터과학과,34,3.94,47,703.0278,93.25,1,연세대학교,정시,일반전형,2023,가군,61
피아노과,20,5.35,1,193,,4,연세대학교,정시,일반전형,2023,가군,62
행정학과,45,4.33,8,716.45,91.25,1,연세대학교,정시,일반전형,2023,가군,63
화공생명공학부,40,3.6,29,709.0333,94.5,1,연세대학교,정시,일반전형,2023,가군,64
화학과,20,2.95,6,703.8833,94.75,1,연세대학교,정시,일반전형,2023,가군,65
IT융합공학과,5,5.4,0,706.6,94.5,1,연세대학교,정시,일반전형,2023,가군,66
