모집단위,모집인원,경쟁률,충원인원,대학점수70컷,70컷,영어등급,대학명,수시정시구분,세부전형명,년도,정시모집군,학과정렬번호
IT융합공학전공,5,8.00,4,696.5813,93.33333333,2,연세대학교,정시,일반전형,2025,가군,1
간호학과,37,2.97,11,707.2417,90.66666667,1,연세대학교,정시,일반전형,2025,가군,2
건축공학과,28,2.82,18,694.8181,92.83333333,1,연세대학교,정시,일반전형,2025,가군,3
경영학과,166,3.58,119,698.3454,93.83333333,1,연세대학교,정시,일반전형,2025,가군,4
경제학부,48,3.13,33,687.8315,92.66666667,2,연세대학교,정시,일반전형,2025,가군,5
교육학부,31,4.06,1,696.832,91.83333333,1,연세대학교,정시,일반전형,2025,가군,6
국어국문학과,21,2.95,1,696.6134,92.5,2,연세대학교,정시,일반전형,2025,가군,7
기계공학부,48,3.42,29,700.1533,93.33333333,1,연세대학교,정시,일반전형,2025,가군,8
노어노문학과,14,5.43,0,695.4686,91.33333333,1,연세대학교,정시,일반전형,2025,가군,9
대기과학과,10,4.10,5,697.477,94.66666667,1,연세대학교,정시,일반전형,2025,가군,10
도시공학과,14,5.07,1,696.3485,93.16666667,1,연세대학교,정시,일반전형,2025,가군,11
독어독문학과,18,3.17,0,694.641,91.16666667,2,연세대학교,정시,일반전형,2025,가군,12
디스플레이융합공학과,7,6.71,4,696.0258,95.5,2,연세대학교,정시,일반전형,2025,가군,13
문헌정보학과,14,2.57,1,692.567,91.83333333,1,연세대학교,정시,일반전형,2025,가군,14
문화인류학과,5,5.00,2,685.9753,92.66666667,1,연세대학교,정시,일반전형,2025,가군,15
물리학과,13,3.77,10,695.926,93.33333333,1,연세대학교,정시,일반전형,2025,가군,16
불어불문학과,17,5.18,1,695.601,92,1,연세대학교,정시,일반전형,2025,가군,17
사학과,22,3.50,1,695.0553,92.66666667,1,연세대학교,정시,일반전형,2025,가군,18
사회복지학과,14,3.57,2,695.4205,93.33333333,1,연세대학교,정시,일반전형,2025,가군,19
사회학과,17,5.65,2,689.0146,91.33333333,1,연세대학교,정시,일반전형,2025,가군,20
사회환경시스템공학부,28,3.86,4,695.7591,92.33333333,2,연세대학교,정시,일반전형,2025,가군,21
산업공학과,16,4.56,8,700.5839,94.16666667,2,연세대학교,정시,일반전형,2025,가군,22
상경계열,70,3.83,17,697.275,93,2,연세대학교,정시,일반전형,2025,가군,23
생명공학과,20,4.45,12,700.3483,93.83333333,2,연세대학교,정시,일반전형,2025,가군,24
생명과학부,20,4.75,18,691.7341,92.5,2,연세대학교,정시,일반전형,2025,가군,25
